timestamp,metric,value
2025-06-14 15:16:30,customer_diff_total,96.0 KiB
2025-06-14 15:16:30,customer_diff,16.0 KiB
2025-06-14 15:16:30,customer_diff_indexes,80.0 KiB
2025-06-14 15:16:30,customer_diff_pkey,16.0 KiB
2025-06-14 15:16:30,idx_customer_diff_userid_at,16.0 KiB
2025-06-14 15:16:30,idx_diff_at_brin,24.0 KiB
2025-06-14 15:46:30,customer_diff_total,15.1 MiB
2025-06-14 15:46:30,customer_diff,13.7 MiB
2025-06-14 15:46:30,customer_diff_indexes,1.4 MiB
2025-06-14 15:46:30,customer_diff_pkey,296.0 KiB
2025-06-14 15:46:30,idx_customer_diff_userid_at,1.1 MiB
2025-06-14 15:46:30,idx_diff_at_brin,24.0 KiB
2025-06-14 16:16:30,customer_diff_total,29.9 MiB
2025-06-14 16:16:30,customer_diff,27.1 MiB
2025-06-14 16:16:30,customer_diff_indexes,2.8 MiB
2025-06-14 16:16:30,customer_diff_pkey,568.0 KiB
2025-06-14 16:16:30,idx_customer_diff_userid_at,2.2 MiB
2025-06-14 16:16:30,idx_diff_at_brin,24.0 KiB
2025-06-14 16:46:30,customer_diff_total,45.1 MiB
2025-06-14 16:46:30,customer_diff,41.0 MiB
2025-06-14 16:46:30,customer_diff_indexes,4.1 MiB
2025-06-14 16:46:30,customer_diff_pkey,840.0 KiB
2025-06-14 16:46:30,idx_customer_diff_userid_at,3.2 MiB
2025-06-14 16:46:30,idx_diff_at_brin,24.0 KiB
2025-06-14 17:16:30,customer_diff_total,55.4 MiB
2025-06-14 17:16:30,customer_diff,50.3 MiB
2025-06-14 17:16:30,customer_diff_indexes,5.0 MiB
2025-06-14 17:16:30,customer_diff_pkey,1.0 MiB
2025-06-14 17:16:30,idx_customer_diff_userid_at,4.0 MiB
2025-06-14 17:16:30,idx_diff_at_brin,24.0 KiB
2025-06-14 18:04:40,customer_diff_total,64.7 MiB
2025-06-14 18:04:40,customer_diff,58.9 MiB
2025-06-14 18:04:40,customer_diff_indexes,5.8 MiB
2025-06-14 18:04:40,customer_diff_pkey,1.2 MiB
2025-06-14 18:04:40,idx_customer_diff_userid_at,4.6 MiB
2025-06-14 18:04:40,idx_diff_at_brin,24.0 KiB
2025-06-14 18:34:40,customer_diff_total,75.6 MiB
2025-06-14 18:34:40,customer_diff,69.0 MiB
2025-06-14 18:34:40,customer_diff_indexes,6.6 MiB
2025-06-14 18:34:40,customer_diff_pkey,1.4 MiB
2025-06-14 18:34:40,idx_customer_diff_userid_at,5.2 MiB
2025-06-14 18:34:40,idx_diff_at_brin,24.0 KiB
2025-06-14 19:04:40,customer_diff_total,90.7 MiB
2025-06-14 19:04:40,customer_diff,82.6 MiB
2025-06-14 19:04:40,customer_diff_indexes,8.1 MiB
2025-06-14 19:04:40,customer_diff_pkey,1.6 MiB
2025-06-14 19:04:40,idx_customer_diff_userid_at,6.4 MiB
2025-06-14 19:04:40,idx_diff_at_brin,24.0 KiB
2025-06-14 19:34:40,customer_diff_total,105.8 MiB
2025-06-14 19:34:40,customer_diff,96.2 MiB
2025-06-14 19:34:40,customer_diff_indexes,9.5 MiB
2025-06-14 19:34:40,customer_diff_pkey,1.9 MiB
2025-06-14 19:34:40,idx_customer_diff_userid_at,7.6 MiB
2025-06-14 19:34:40,idx_diff_at_brin,24.0 KiB
2025-06-14 20:04:40,customer_diff_total,120.6 MiB
2025-06-14 20:04:40,customer_diff,109.9 MiB
2025-06-14 20:04:40,customer_diff_indexes,10.7 MiB
2025-06-14 20:04:40,customer_diff_pkey,2.2 MiB
2025-06-14 20:04:40,idx_customer_diff_userid_at,8.5 MiB
2025-06-14 20:04:40,idx_diff_at_brin,24.0 KiB
2025-06-14 20:34:41,customer_diff_total,135.3 MiB
2025-06-14 20:34:41,customer_diff,123.3 MiB
2025-06-14 20:34:41,customer_diff_indexes,12.0 MiB
2025-06-14 20:34:41,customer_diff_pkey,2.4 MiB
2025-06-14 20:34:41,idx_customer_diff_userid_at,9.5 MiB
2025-06-14 20:34:41,idx_diff_at_brin,24.0 KiB
2025-06-14 21:04:41,customer_diff_total,150.9 MiB
2025-06-14 21:04:41,customer_diff,137.6 MiB
2025-06-14 21:04:41,customer_diff_indexes,13.3 MiB
2025-06-14 21:04:41,customer_diff_pkey,2.7 MiB
2025-06-14 21:04:41,idx_customer_diff_userid_at,10.6 MiB
2025-06-14 21:04:41,idx_diff_at_brin,24.0 KiB
2025-06-14 21:34:41,customer_diff_total,157.3 MiB
2025-06-14 21:34:41,customer_diff,143.4 MiB
2025-06-14 21:34:41,customer_diff_indexes,13.9 MiB
2025-06-14 21:34:41,customer_diff_pkey,2.8 MiB
2025-06-14 21:34:41,idx_customer_diff_userid_at,11.0 MiB
2025-06-14 21:34:41,idx_diff_at_brin,24.0 KiB
