timestamp,metric,value
2025-06-15 22:02:21,customer_state_total,72.0 KiB
2025-06-15 22:02:21,customer_state,8.0 KiB
2025-06-15 22:02:21,customer_state_indexes,64.0 KiB
2025-06-15 22:02:21,customer_state_pkey,8.0 KiB
2025-06-15 22:02:21,idx_state_id_at_desc,8.0 KiB
2025-06-15 22:02:21,idx_state_at_brin,24.0 KiB
2025-06-15 22:32:21,customer_state_total,134.0 MiB
2025-06-15 22:32:21,customer_state,128.9 MiB
2025-06-15 22:32:21,customer_state_indexes,5.2 MiB
2025-06-15 22:32:21,customer_state_pkey,2.9 MiB
2025-06-15 22:32:21,idx_state_id_at_desc,2.3 MiB
2025-06-15 22:32:21,idx_state_at_brin,24.0 KiB
2025-06-15 23:02:21,customer_state_total,223.9 MiB
2025-06-15 23:02:21,customer_state,215.2 MiB
2025-06-15 23:02:21,customer_state_indexes,8.7 MiB
2025-06-15 23:02:21,customer_state_pkey,4.9 MiB
2025-06-15 23:02:21,idx_state_id_at_desc,3.8 MiB
2025-06-15 23:02:21,idx_state_at_brin,24.0 KiB
2025-06-15 23:33:31,customer_state_total,265.3 MiB
2025-06-15 23:33:31,customer_state,255.1 MiB
2025-06-15 23:33:31,customer_state_indexes,10.2 MiB
2025-06-15 23:33:31,customer_state_pkey,5.7 MiB
2025-06-15 23:33:31,idx_state_id_at_desc,4.5 MiB
2025-06-15 23:33:31,idx_state_at_brin,24.0 KiB
2025-06-16 00:03:31,customer_state_total,321.1 MiB
2025-06-16 00:03:31,customer_state,309.0 MiB
2025-06-16 00:03:31,customer_state_indexes,12.0 MiB
2025-06-16 00:03:31,customer_state_pkey,6.7 MiB
2025-06-16 00:03:31,idx_state_id_at_desc,5.2 MiB
2025-06-16 00:03:31,idx_state_at_brin,24.0 KiB
2025-06-16 01:00:31,customer_state_total,356.6 MiB
2025-06-16 01:00:31,customer_state,343.2 MiB
2025-06-16 01:00:31,customer_state_indexes,13.4 MiB
2025-06-16 01:00:31,customer_state_pkey,7.5 MiB
2025-06-16 01:00:31,idx_state_id_at_desc,5.8 MiB
2025-06-16 01:00:31,idx_state_at_brin,24.0 KiB
2025-06-16 01:40:30,customer_state_total,402.7 MiB
2025-06-16 01:40:30,customer_state,387.8 MiB
2025-06-16 01:40:30,customer_state_indexes,14.9 MiB
2025-06-16 01:40:30,customer_state_pkey,8.3 MiB
2025-06-16 01:40:30,idx_state_id_at_desc,6.5 MiB
2025-06-16 01:40:30,idx_state_at_brin,24.0 KiB
2025-06-16 02:44:30,customer_state_total,445.3 MiB
2025-06-16 02:44:30,customer_state,428.5 MiB
2025-06-16 02:44:30,customer_state_indexes,16.9 MiB
2025-06-16 02:44:30,customer_state_pkey,9.4 MiB
2025-06-16 02:44:30,idx_state_id_at_desc,7.4 MiB
2025-06-16 02:44:30,idx_state_at_brin,24.0 KiB
2025-06-16 03:33:30,customer_state_total,491.0 MiB
2025-06-16 03:33:30,customer_state,472.4 MiB
2025-06-16 03:33:30,customer_state_indexes,18.6 MiB
2025-06-16 03:33:30,customer_state_pkey,10.4 MiB
2025-06-16 03:33:30,idx_state_id_at_desc,8.2 MiB
2025-06-16 03:33:30,idx_state_at_brin,24.0 KiB
2025-06-16 04:33:30,customer_state_total,533.3 MiB
2025-06-16 04:33:30,customer_state,513.0 MiB
2025-06-16 04:33:30,customer_state_indexes,20.3 MiB
2025-06-16 04:33:30,customer_state_pkey,11.4 MiB
2025-06-16 04:33:30,idx_state_id_at_desc,8.9 MiB
2025-06-16 04:33:30,idx_state_at_brin,24.0 KiB
2025-06-16 05:42:30,customer_state_total,533.3 MiB
2025-06-16 05:42:30,customer_state,513.0 MiB
2025-06-16 05:42:30,customer_state_indexes,20.3 MiB
2025-06-16 05:42:30,customer_state_pkey,11.4 MiB
2025-06-16 05:42:30,idx_state_id_at_desc,8.9 MiB
2025-06-16 05:42:30,idx_state_at_brin,24.0 KiB
