timestamp,metric,value
2025-06-18 16:31:41,total_size,481247
2025-06-18 16:31:41,base_size,477151
2025-06-18 16:31:41,larch_size,27800
2025-06-18 17:01:42,total_size,9895347
2025-06-18 17:01:42,base_size,9891251
2025-06-18 17:01:42,larch_size,93156
2025-06-18 17:31:43,total_size,9895347
2025-06-18 17:31:43,base_size,9891251
2025-06-18 17:31:43,larch_size,93156
2025-06-18 18:01:44,total_size,9895347
2025-06-18 18:01:44,base_size,9891251
2025-06-18 18:01:44,larch_size,93156
2025-06-18 18:31:45,total_size,9895347
2025-06-18 18:31:45,base_size,9891251
2025-06-18 18:31:45,larch_size,93156
