timestamp,metric,value
2025-06-19 16:52:30,total_size,476224
2025-06-19 16:52:30,base_size,472128
2025-06-19 16:52:30,larch_size,27768
2025-06-19 17:22:31,total_size,13724449
2025-06-19 17:22:31,base_size,13720353
2025-06-19 17:22:31,larch_size,125244
2025-06-19 17:52:32,total_size,20334118
2025-06-19 17:52:32,base_size,20330022
2025-06-19 17:52:32,larch_size,191028
2025-06-19 18:22:34,total_size,23576762
2025-06-19 18:22:34,base_size,23572666
2025-06-19 18:22:34,larch_size,231860
2025-06-19 18:52:35,total_size,24537894
2025-06-19 18:52:35,base_size,24533798
2025-06-19 18:52:35,larch_size,245188
